"id","fdc_id"
"22503","321358"
"22504","321358"
"22505","321359"
"22506","321359"
"22507","321360"
"22508","321360"
"22509","321505"
"22510","321611"
"22511","321611"
"22512","321900"
"22513","321900"
"22514","322228"
"22515","322228"
"22516","322559"
"22517","322559"
"22518","322892"
"22519","322892"
"22520","323121"
"22521","323121"
"22522","323294"
"22523","323294"
"22524","323444"
"22525","323444"
"22526","323505"
"22527","323505"
"22528","323604"
"22529","323604"
"22530","323697"
"22531","323697"
"22532","323793"
"22533","323793"
"22534","324038"
"22535","324038"
"22536","324157"
"22537","324157"
"22538","324317"
"22539","324317"
"22540","324653"
"22541","324653"
"22542","324860"
"22543","324860"
"22544","325036"
"22545","325036"
"22546","325198"
"22547","325198"
"22548","325287"
"22549","325287"
"22550","325430"
"22551","325430"
"22552","325524"
"22553","325524"
"22554","325658"
"22555","325658"
"22556","325871"
"22557","325871"
"22558","325992"
"22559","325992"
"22560","326135"
"22561","326135"
"22562","326196"
"22563","326196"
"22564","326458"
"22565","326458"
"22566","326698"
"22567","326698"
"22568","326905"
"22569","326905"
"22570","327046"
"22571","327046"
"22572","327198"
"22573","327198"
"22574","327357"
"22575","327357"
"22576","327501"
"22577","327501"
"22578","327699"
"22579","327699"
"22580","327923"
"22581","327923"
"22582","328637"
"22583","328637"
"22584","328841"
"22585","328841"
"22586","329370"
"22587","329370"
"22588","329490"
"22589","329490"
"22590","329596"
"22591","329596"
"22592","329716"
"22593","329716"
"22594","329830"
"22595","329830"
"22596","330137"
"22597","330137"
"22598","330415"
"22599","330415"
"22600","330458"
"22601","330458"
"22602","330869"
"22603","330869"
"22604","331897"
"22605","331897"
"22606","331960"
"22607","331960"
"22608","332282"
"22609","332282"
"22610","332397"
"22611","332397"
"22612","332597"
"22613","332597"
"22614","332791"
"22615","332791"
"22616","332864"
"22617","332864"
"22618","333008"
"22619","333008"
"22620","333281"
"22621","333281"
"22622","333374"
"22623","333374"
"22624","333476"
"22625","333476"
"22626","334194"
"22627","334194"
"22628","334247"
"22629","334247"
"22630","334462"
"22631","334462"
"22632","334536"
"22633","334536"
"22634","334628"
"22635","334628"
"22636","334720"
"22637","334720"
"22638","334849"
"22639","334849"
"22640","334897"
"22641","334897"
"22642","334898"
"22643","334898"
"22644","334963"
"22645","334963"
"22646","335061"
"22647","335061"
"22648","335109"
"22649","335109"
"22650","335240"
"22651","335240"
